00:01,28,41,5,758,24
00:02,46,48,4,527,24
00:03,17,37,6,877,24
00:45,54,1,4,236,24
00:57,53,26,5,299,24
01:13,40,3,6,859,24
01:29,68,18,4,584,24
01:54,57,45,20,583,8
02:13,51,13,6,448,24
02:23,17,24,19,162,8
03:19,15,26,49,549,24
05:41,12,45,6,623,24
06:05,46,16,9,313,4
06:49,64,50,4,473,24
07:34,65,18,5,388,24
07:51,68,45,4,11,24
08:31,34,4,52,353,24
08:37,49,2,6,571,24
09:48,62,50,30,44,24
15:39,54,6,21,117,24
15:46,38,13,8,366,24
17:14,39,16,5,683,3
18:09,50,39,2,478,2
18:31,61,43,10,427,4
19:44,54,34,5,236,24
20:21,8,7,20,543,8
20:43,43,36,11,368,24
21:21,58,32,2,796,24
21:44,30,28,5,610,3
22:41,3,5,5,40,4
22:51,31,22,4,390,3
23:37,35,26,2,807,2
23:38,41,28,2,433,2
